TaskID,任务类型,源区域,目标区域,到达小时,开工小时,完成小时,等待_h,时延_ms,是否迁移
49059,RealTimeInference,RegionA,RegionC,1632,1632,1638.1333333333334,0.0,15.0,True
49060,RealTimeInference,RegionA,RegionC,579,579,585.2,0.0,15.0,True
49061,BatchInference,RegionC,RegionD,1128,1128,1133.9833333333333,0.0,58.0,True
49062,RealTimeInference,RegionB,RegionB,494,494,495.6333333333333,0.0,5.0,False
49063,RealTimeInference,RegionC,RegionA,1980,1980,1980.2166666666667,0.0,15.0,True
49064,AITraining,RegionF,RegionD,935,935,939.2666666666667,0.0,25.0,True
49065,AITraining,RegionB,RegionE,1153,1153,1157.8166666666666,0.0,74.0,True
49066,AITraining,RegionD,RegionE,1577,1577,1581.7,0.0,22.0,True
49067,RealTimeInference,RegionB,RegionA,1845,1845,1850.4166666666667,0.0,12.0,True
49068,BatchInference,RegionC,RegionF,1021,1021,1027.65,0.0,76.0,True
49069,AITraining,RegionE,RegionE,1684,1684,1686.55,0.0,5.0,False
49070,AITraining,RegionF,RegionF,1263,1263,1264.6666666666667,0.0,5.0,False
49071,AITraining,RegionF,RegionE,1488,1488,1489.4833333333333,0.0,18.0,True
49072,RealTimeInference,RegionA,RegionA,1813,1813,1819.2333333333333,0.0,5.0,False
49073,RealTimeInference,RegionA,RegionA,272,272,277.78333333333336,0.0,5.0,False
49074,RealTimeInference,RegionB,RegionC,1238,1238,1241.4166666666667,0.0,14.0,True
49075,RealTimeInference,RegionB,RegionC,715,715,720.9166666666666,0.0,14.0,True
49076,RealTimeInference,RegionC,RegionB,1328,1328,1332.7666666666667,0.0,14.0,True
49077,AITraining,RegionF,RegionF,1298,1298,1298.7666666666667,0.0,5.0,False
49078,AITraining,RegionB,RegionD,96,96,100.43333333333334,0.0,60.0,True
49079,BatchInference,RegionB,RegionA,1255,1263,1264.7666666666667,8.0,12.0,True
49080,AITraining,RegionD,RegionD,103,103,106.16666666666667,0.0,5.0,False
49081,BatchInference,RegionC,RegionD,2047,2054,2055.5833333333335,7.0,58.0,True
49082,AITraining,RegionE,RegionC,453,458,458.95,5.0,70.0,True
49083,RealTimeInference,RegionC,RegionB,1767,1767,1768.7166666666667,0.0,14.0,True
49084,RealTimeInference,RegionF,RegionE,132,132,134.06666666666666,0.0,18.0,True
49085,AITraining,RegionC,RegionE,134,134,138.31666666666666,0.0,70.0,True
49086,RealTimeInference,RegionA,RegionC,12,12,15.116666666666667,0.0,15.0,True
49087,RealTimeInference,RegionB,RegionB,420,420,423.43333333333334,0.0,5.0,False
49088,RealTimeInference,RegionB,RegionC,1051,1051,1055.7833333333333,0.0,14.0,True
49089,RealTimeInference,RegionC,RegionA,590,590,594.25,0.0,15.0,True
49090,BatchInference,RegionF,RegionC,2088,2088,2094.4666666666667,0.0,76.0,True
49091,AITraining,RegionA,RegionD,1683,1701,1702.6166666666666,18.0,65.0,True
49092,AITraining,RegionD,RegionE,180,180,185.5,0.0,22.0,True
49093,BatchInference,RegionB,RegionD,1608,1608,1613.7666666666667,0.0,60.0,True
49094,RealTimeInference,RegionB,RegionB,558,558,558.8833333333333,0.0,5.0,False
49095,AITraining,RegionE,RegionE,661,661,664.3666666666667,0.0,5.0,False
49096,BatchInference,RegionE,RegionA,181,181,183.28333333333333,0.0,78.0,True
49097,AITraining,RegionF,RegionE,684,689,691.2333333333333,5.0,18.0,True
49098,AITraining,RegionC,RegionA,127,135,135.21666666666667,8.0,15.0,True
49099,RealTimeInference,RegionA,RegionA,430,430,431.65,0.0,5.0,False
49100,AITraining,RegionD,RegionF,2219,2219,2225.45,0.0,25.0,True
49101,AITraining,RegionE,RegionA,1331,1331,1334.8,0.0,78.0,True
49102,BatchInference,RegionD,RegionD,669,669,670.6166666666667,0.0,5.0,False
49103,BatchInference,RegionE,RegionF,348,355,355.31666666666666,7.0,18.0,True
49104,BatchInference,RegionA,RegionD,572,572,578.2166666666667,0.0,65.0,True
49105,AITraining,RegionD,RegionA,556,556,560.6666666666666,0.0,65.0,True
49106,BatchInference,RegionB,RegionF,164,164,165.26666666666668,0.0,79.0,True
49107,RealTimeInference,RegionB,RegionC,1543,1543,1545.7666666666667,0.0,14.0,True
49108,RealTimeInference,RegionB,RegionC,529,529,529.5166666666667,0.0,14.0,True
49109,BatchInference,RegionE,RegionF,2310,2310,2313.016666666667,0.0,18.0,True
49110,RealTimeInference,RegionE,RegionF,1802,1802,1802.5166666666667,0.0,18.0,True
49111,AITraining,RegionB,RegionE,2013,2013,2018.9166666666667,0.0,74.0,True
49112,BatchInference,RegionB,RegionD,18,18,21.35,0.0,60.0,True
49113,BatchInference,RegionC,RegionD,186,186,192.06666666666666,0.0,58.0,True
49114,RealTimeInference,RegionB,RegionB,1847,1847,1853.1666666666667,0.0,5.0,False
49115,RealTimeInference,RegionC,RegionC,2182,2182,2186.366666666667,0.0,5.0,False
49116,AITraining,RegionF,RegionE,865,865,869.0333333333333,0.0,18.0,True
49117,RealTimeInference,RegionA,RegionB,477,477,482.3833333333333,0.0,12.0,True
49118,RealTimeInference,RegionA,RegionC,203,203,203.3,0.0,15.0,True
49119,AITraining,RegionD,RegionF,1112,1112,1115.6833333333334,0.0,25.0,True
49120,AITraining,RegionD,RegionD,1432,1432,1437.7,0.0,5.0,False
49121,RealTimeInference,RegionB,RegionB,1401,1401,1402.5,0.0,5.0,False
49122,BatchInference,RegionE,RegionF,159,159,163.66666666666666,0.0,18.0,True
49123,RealTimeInference,RegionD,RegionD,865,865,867.6333333333333,0.0,5.0,False
49124,BatchInference,RegionA,RegionE,459,459,459.1666666666667,0.0,78.0,True
49125,AITraining,RegionD,RegionB,2269,2271,2271.383333333333,2.0,60.0,True
49126,AITraining,RegionD,RegionA,868,868,873.2833333333333,0.0,65.0,True
49127,BatchInference,RegionC,RegionD,1295,1295,1299.2333333333333,0.0,58.0,True
49128,BatchInference,RegionD,RegionB,1574,1575,1577.3,1.0,60.0,True
49129,BatchInference,RegionE,RegionC,2310,2325,2325.6,15.0,70.0,True
49130,BatchInference,RegionF,RegionF,1812,1812,1815.3333333333333,0.0,5.0,False
49131,AITraining,RegionC,RegionF,1859,1859,1865.1333333333334,0.0,76.0,True
49132,AITraining,RegionD,RegionF,634,634,638.3333333333334,0.0,25.0,True
49133,BatchInference,RegionC,RegionE,2375,2375,2376.9166666666665,0.0,70.0,True
49134,AITraining,RegionE,RegionD,289,289,290.25,0.0,22.0,True
49135,RealTimeInference,RegionC,RegionB,1659,1659,1660.1333333333334,0.0,14.0,True
49136,AITraining,RegionF,RegionE,325,325,326.5,0.0,18.0,True
49137,BatchInference,RegionA,RegionD,1057,1136,1137.55,79.0,65.0,True
49138,BatchInference,RegionB,RegionE,1564,1564,1569.5833333333333,0.0,74.0,True
49139,BatchInference,RegionB,RegionF,887,887,890.45,0.0,79.0,True
49140,RealTimeInference,RegionB,RegionC,1783,1783,1789.25,0.0,14.0,True
49141,BatchInference,RegionD,RegionB,914,928,929.3166666666667,14.0,60.0,True
49142,AITraining,RegionF,RegionA,329,329,329.51666666666665,0.0,82.0,True
49143,AITraining,RegionF,RegionE,2223,2223,2228.116666666667,0.0,18.0,True
49144,RealTimeInference,RegionA,RegionA,1802,1802,1806.95,0.0,5.0,False
49145,AITraining,RegionD,RegionE,1882,1889,1890.95,7.0,22.0,True
49146,BatchInference,RegionC,RegionD,2224,2224,2230.5666666666666,0.0,58.0,True
49147,AITraining,RegionE,RegionF,612,612,617.7,0.0,18.0,True
