X_时间（h）,Y_E0净电网交互功率（MW）,Y_E1净电网交互功率（MW）
428,-602.1583000000,-620.0000000000
429,-542.9598004200,-620.0000000000
430,-356.4357999900,-620.0000000000
431,-348.6965995734,-620.0000000000
432,-251.4652000000,-620.0000000000
433,-372.8474995800,-620.0000000000
434,-425.8504995734,-620.0000000000
435,-523.4868004233,-620.0000000000
436,-620.0000000000,-620.0000000000
437,-620.0000000000,-620.0000000000
438,-620.0000000000,-620.0000000000
439,-620.0000000000,-620.0000000000
440,-620.0000000000,-620.0000000000
441,-620.0000000000,-620.0000000000
442,-620.0000000000,-620.0000000000
443,-620.0000000000,-620.0000000000
444,-620.0000000000,-620.0000000000
445,-620.0000000000,-620.0000000000
446,-620.0000000000,-620.0000000000
447,-620.0000000000,-620.0000000000
448,-620.0000000000,-620.0000000000
449,-620.0000000000,-620.0000000000
450,-620.0000000000,-620.0000000000
451,-620.0000000000,-620.0000000000
452,-595.4993000000,-620.0000000000
453,-522.9977999933,-620.0000000000
454,-416.7264004166,-620.0000000000
455,-315.9669995734,-620.0000000000
456,-312.5754987335,-620.0000000000
457,-246.4916008399,-620.0000000000
458,-405.4955999967,-620.0000000000
459,-533.1550000100,-564.2726000000
460,-594.6249995834,-620.0000000000
461,-620.0000000000,-620.0000000000
462,-620.0000000000,-620.0000000000
463,-620.0000000000,-620.0000000000
464,-620.0000000000,-620.0000000000
465,-620.0000000000,-620.0000000000
466,-620.0000000000,-620.0000000000
467,-620.0000000000,-620.0000000000
468,-620.0000000000,-620.0000000000
469,-620.0000000000,-620.0000000000
470,-620.0000000000,-620.0000000000
471,-620.0000000000,-620.0000000000
472,-620.0000000000,-620.0000000000
473,-620.0000000000,-620.0000000000
474,-620.0000000000,-620.0000000000
475,-620.0000000000,-620.0000000000
476,-605.8024995834,-620.0000000000
477,-575.0296008399,-620.0000000000
478,-361.4137000033,-620.0000000000
479,-252.8597004266,-620.0000000000
480,-316.0933004266,-620.0000000000
481,-323.1400004133,-620.0000000000
482,-416.9365991601,-620.0000000000
483,-466.7725999933,-620.0000000000
484,-620.0000000000,-620.0000000000
485,-620.0000000000,-620.0000000000
486,-620.0000000000,-620.0000000000
487,-620.0000000000,-620.0000000000
488,-620.0000000000,-620.0000000000
489,-620.0000000000,-620.0000000000
490,-620.0000000000,-620.0000000000
491,-620.0000000000,-620.0000000000
492,-620.0000000000,-620.0000000000
493,-620.0000000000,-620.0000000000
494,-620.0000000000,-620.0000000000
495,-620.0000000000,-620.0000000000
496,-620.0000000000,-620.0000000000
497,-620.0000000000,-620.0000000000
498,-620.0000000000,-620.0000000000
499,-620.0000000000,-620.0000000000
500,-620.0000000000,-620.0000000000
501,-502.4451000100,-620.0000000000
502,-363.2789004266,-620.0000000000
503,-331.9926991601,-620.0000000000
504,-292.9920000000,-620.0000000000
505,-355.2436000000,-620.0000000000
506,-406.5850000067,-620.0000000000
507,-545.5830008399,-620.0000000000
508,-616.0412995767,-620.0000000000
509,-620.0000000000,-620.0000000000
510,-620.0000000000,-620.0000000000
511,-620.0000000000,-620.0000000000
512,-620.0000000000,-620.0000000000
513,-620.0000000000,-620.0000000000
514,-620.0000000000,-620.0000000000
515,-620.0000000000,-620.0000000000
516,-620.0000000000,-620.0000000000
517,-620.0000000000,-620.0000000000
518,-620.0000000000,-620.0000000000
519,-620.0000000000,-620.0000000000
520,-620.0000000000,-620.0000000000
521,-620.0000000000,-620.0000000000
522,-620.0000000000,-620.0000000000
523,-620.0000000000,-620.0000000000
524,-620.0000000000,-620.0000000000
525,-477.3876995867,-620.0000000000
526,-384.4630995767,-620.0000000000
527,-273.5507004333,-620.0000000000
528,-297.3764995667,-620.0000000000
529,-275.2290000100,-620.0000000000
530,-384.8491999933,-620.0000000000
531,-440.8604004333,-620.0000000000
532,-620.0000000000,-620.0000000000
533,-620.0000000000,-620.0000000000
534,-620.0000000000,-620.0000000000
535,-620.0000000000,-620.0000000000
