阶段,轮次,事件,活动列数,Benders切数,LP目标值,theta_CNY,真实能源成本_CNY,Benders违反_CNY,新增列数,最小缺失列约化成本,根节点闭合,MIP状态,MIP目标值,当前RSS_GiB,累计分钟
Latency阶段,119,added_benders_cut,135889,126,254032.3609401141,-459274946.5718018,-459175083.3021956,99863.26960617304,0,nan,False,,,0.36939239501953125,28.56256062189738
Latency阶段,120,added_benders_cut,135889,127,254033.169162935,-459274946.5718018,-459177585.2965935,97361.27520829439,0,nan,False,,,0.3707695007324219,29.43436915874481
Latency阶段,121,added_benders_cut,135889,128,254033.6514891071,-459274946.5718018,-459189784.28275466,85162.289047122,0,nan,False,,,0.253814697265625,0.8448646783828735
Latency阶段,122,added_benders_cut,135889,129,254034.57271497996,-459274946.5718018,-459191122.26447123,83824.30733054876,0,nan,False,,,0.258514404296875,1.7153732339541117
Latency阶段,123,added_benders_cut,135889,130,254035.70708123263,-459274946.5718018,-459174772.5674976,100174.00430417061,0,nan,False,,,0.2653312683105469,2.577014180024465
Latency阶段,124,added_benders_cut,135889,131,254036.77165315612,-459274946.5718018,-459185949.7209583,88996.85084348917,0,nan,False,,,0.2674598693847656,3.4418524622917177
Latency阶段,125,added_benders_cut,135889,132,254037.6502365521,-459274946.5718018,-459180575.7024673,94370.8693344593,0,nan,False,,,0.2679405212402344,4.327040799458822
Latency阶段,126,added_benders_cut,135889,133,254038.20408989885,-459274946.5718018,-459180767.31425697,94179.25754481554,0,nan,False,,,0.273956298828125,5.229636371135712
Latency阶段,127,added_benders_cut,135889,134,254038.6050670847,-459274946.5718018,-459190959.4155992,83987.1562025547,0,nan,False,,,0.3132133483886719,6.116473150253296
Latency阶段,128,added_benders_cut,135889,135,254039.22989734006,-459274946.5718018,-459182578.73419356,92367.8376082182,0,nan,False,,,0.27724456787109375,7.0155471960703535
Latency阶段,129,added_benders_cut,135889,136,254040.28920412975,-459274946.5718018,-459178490.80369854,96455.76810324192,0,nan,False,,,0.3237113952636719,7.84355830748876
Latency阶段,130,added_benders_cut,135889,137,254041.02833756647,-459274946.5718018,-459171976.0649806,102970.50682115555,0,nan,False,,,0.3253822326660156,8.760424065589905
Latency阶段,131,added_benders_cut,135889,138,254041.34306348444,-459274946.5718018,-459187461.4337827,87485.13801908493,0,nan,False,,,0.33002471923828125,9.667897299925487
Latency阶段,132,added_benders_cut,135889,139,254041.7871601386,-459274946.5718018,-459192266.6824179,82679.88938385248,0,nan,False,,,0.3322105407714844,10.58493633667628
Latency阶段,133,added_benders_cut,135889,140,254041.89834326287,-459274946.5718018,-459212397.9989564,62548.57284539938,0,nan,False,,,0.3377952575683594,11.46731915473938
Latency阶段,134,added_benders_cut,135889,141,254042.31037212803,-459274946.5718018,-459198889.61636025,76056.95544153452,0,nan,False,,,0.28815460205078125,12.338965197404226
Latency阶段,135,added_benders_cut,135889,142,254042.4462020194,-459274946.5718018,-459207158.2021232,67788.36967855692,0,nan,False,,,0.3398551940917969,13.248686361312867
Latency阶段,136,added_benders_cut,135889,143,254042.58785062758,-459274946.5718018,-459214849.0522388,60097.51956295967,0,nan,False,,,0.34300994873046875,14.08562524318695
Latency阶段,137,added_benders_cut,135889,144,254042.6499764888,-459274946.5718018,-459223073.6023201,51872.96948170662,0,nan,False,,,0.34439849853515625,15.038367756207784
Latency阶段,138,added_benders_cut,135889,145,254042.90917611288,-459274946.5718018,-459223352.8023352,51593.76946657896,0,nan,False,,,0.3495903015136719,15.988735353946685
Latency阶段,139,added_benders_cut,135889,146,254043.04642511104,-459274946.5718018,-459213545.91656613,61400.655235648155,0,nan,False,,,0.3494224548339844,16.943828026453655
Latency阶段,140,added_benders_cut,135889,147,254043.10548367345,-459274946.5718018,-459208028.6364911,66917.9353106618,0,nan,False,,,0.35388946533203125,17.914804327487946
Latency阶段,141,added_benders_cut,135889,148,254043.26568077487,-459274946.5718018,-459212253.39446765,62693.17733412981,0,nan,False,,,0.3585014343261719,18.880056925614674
Latency阶段,142,added_benders_cut,135889,149,254043.3641351822,-459274946.5718018,-459209979.4617106,64967.11009120941,0,nan,False,,,0.35796356201171875,19.860423882802326
Latency阶段,143,added_benders_cut,135889,150,254044.0013881254,-459274946.5718018,-459204557.39699185,70389.17480993271,0,nan,False,,,0.3564491271972656,20.82578238248825
Latency阶段,144,added_benders_cut,135889,151,254044.5956624333,-459274946.5718018,-459210019.5598006,64927.01200115681,0,nan,False,,,0.36519622802734375,21.84021858771642
Latency阶段,145,added_benders_cut,135889,152,254045.12341746376,-459274946.5718018,-459241115.5928324,33830.97896939516,0,nan,False,,,0.3653221130371094,22.812248257795968
