X_时间（h）,Y_设施负荷（MW）,Y_电网购电功率（MW）,Y_弃电功率（MW）,Y_新能源利用功率（MW）
450,2183.9565224666667,549.18165,2227.4316266666665,1052.5683733333333
451,2194.335134183333,562.7632,1835.8645666666666,1071.3554333333334
452,2352.01546421,733.8032000000001,1649.8145366666668,1018.7614633333334
453,2058.54452958,777.0301133333335,1712.1313833333334,817.9704166666666
454,2297.9773020166667,1364.24773,1306.0670266666666,933.7294733333333
455,2480.42976377,1470.4918633333332,1317.686,1009.9379
456,2772.5690908166666,1912.36739,1391.894,1089.7015999999999
457,3126.8149524833334,2142.02142,1529.1839666666667,1214.2935333333332
458,3270.7003733366664,2191.7859266666665,1896.6805533333336,1278.9361466666664
459,3306.8571671166665,2174.23981,2217.502143333333,1312.6173566666666
460,3310.539402423333,2237.1262266666668,2732.7685233333336,1253.4131766666665
461,3362.3738471066667,2146.2045966666665,3359.24345,1276.16925
462,3319.6448005166667,2033.7650466666664,3794.1203466666666,1285.8797533333332
463,3316.47429336,2015.3197799999998,4151.625486666667,1301.1545133333334
464,3330.0246004933333,1981.25929,4390.09469,1348.76531
465,3172.56416621,1830.1932666666667,4576.3090999999995,1342.3709000000001
466,3034.179370903333,1715.3678566666665,4661.188486666667,1318.8114133333331
467,2831.2988504566665,1582.2692333333334,4669.650383333334,1249.0296166666667
468,2626.94059336,1407.6605333333332,4519.57994,1219.28006
469,2510.117258733333,1334.31959,4276.98228,1175.79772
470,2329.8548829,1223.40052,3973.5455066666664,1106.4542933333332
471,2095.3456120033334,1131.7925333333333,3682.34694,963.5530600000001
472,1793.7354279666665,973.2080766666667,3359.47255,820.52745
473,2194.2149870833337,648.0188,2721.5520333333334,992.5479666666668
474,2087.407710016667,572.8190500000001,2308.71744,971.2825600000001
475,2111.3290461833335,606.4499,1950.0790533333331,957.1409466666667
476,2273.44253751,719.447,1698.7584633333333,963.3909366666667
477,2295.085241606667,759.52691,1437.2633666666666,1076.6024333333335
478,2714.6119324300003,1552.2830533333333,1092.1169199999997,1162.32888
479,2868.9700024666663,1625.15064,1101.7047366666668,1243.819363333333
480,3061.110668213333,2001.28034,1186.7695700000002,1289.33033
481,3252.5651886766664,2186.2717199999997,1421.8644300000003,1295.7934699999996
482,3394.6892979566665,2275.7704,1854.5177033333337,1319.0414966666665
483,3437.2481562233334,2267.8167200000003,2199.5817633333336,1349.4314366666667
484,3296.579395363333,2199.442016666667,2718.19272,1277.13738
485,3418.94149203,2144.5331533333333,3348.65906,1297.2409400000001
486,3340.9273662399996,2075.6920366666664,3814.76467,1265.23533
487,3222.0862633766665,1922.861,4153.554736666667,1299.2252633333333
488,3184.3026182466665,1893.6842733333333,4448.2416533333335,1290.6183466666666
489,3100.4132937699997,1881.6035333333332,4699.87024,1218.80976
490,2878.3935871000003,1731.4024666666664,4833.00888,1146.99112
491,2698.78260534,1543.8160866666667,4763.71348,1154.96652
492,2526.3342567066666,1400.1911866666667,4612.717,1126.143
493,2470.1298975500004,1357.23891,4339.888973333333,1112.8910266666667
494,2301.0333413,1274.47414,4053.44074,1026.55926
495,2289.041992933334,1310.8151200000002,3667.6730166666666,978.2269833333335
496,2358.41925421,1203.2495999999999,3024.8303466666666,1155.1696533333334
497,2232.7796179566667,599.01075,2634.1174333333333,1079.9825666666668
498,2244.46040533,616.4870999999999,2226.4252933333332,1053.5746066666668
499,2194.55590666,617.4150500000001,1879.9004433333332,1027.3195566666668
500,2138.4198837933336,672.7029500000001,1735.5003666666667,905.8009333333334
501,2242.90424954,862.70831,1594.61786,935.3395399999999
502,2420.35112625,1454.7534666666666,1290.14914,965.5976599999999
503,2457.9972375066664,1507.4960633333333,1370.0818266666668,950.5011733333332
504,2792.616343333333,1971.959343333333,1432.2179,1050.157
505,2955.5539328933332,2033.1305,1554.0267666666666,1151.9233333333334
506,3102.797279993333,2107.79135,1985.1055700000002,1195.16573
507,3143.508216726667,2088.78998,2287.476063333333,1234.7182366666668
508,3247.0534299533333,2146.826506666667,2742.3987766666664,1280.2269233333334
509,3156.33153539,1943.5647366666665,3425.734,1220.1660000000002
510,3128.3671053733333,1922.59127,3874.2241633333333,1205.7758366666665
511,3084.757407153333,1913.1666066666667,4281.1892,1171.5908
512,3028.76986954,1809.2046599999999,4519.29479,1219.56521
513,2973.0781062300002,1790.8730066666667,4736.4749,1182.2051000000001
514,2998.28213086,1818.47303,4800.1908,1179.8091
515,2722.05662715,1625.0718666666667,4821.69524,1096.98476
516,2923.7409428600004,1613.70954,4428.828596666666,1310.0314033333334
517,2791.7941099933337,1537.4255233333333,4198.411453333333,1254.3685466666668
518,2614.03177572,1440.6863400000002,3906.654613333333,1173.3453866666666
519,2316.5570062066668,1285.62173,3614.9647333333332,1030.9352666666666
520,1966.8095633266666,1066.7104566666667,3279.900913333333,900.0990866666668
521,2034.8661911666668,578.7898399999999,2806.368246666667,907.7317533333334
522,1922.5330499733334,495.32981,2422.97196,857.0280399999999
523,2077.4949175666666,588.56115,2004.7022333333332,902.5178666666667
524,2116.550790426667,699.76445,1822.68536,834.22684
525,2125.1435942066664,782.8987033333333,1637.2114100000001,889.88829
526,2221.4594813333333,1296.6565300000002,1323.70545,924.8029500000001
527,2511.0211291166665,1492.1583033333334,1319.9075733333334,1018.8628266666667
528,2715.3452842066663,1856.817383333333,1394.8233,1088.0279
529,3019.7400533333334,2051.9374533333335,1536.2808,1197.3025
530,3178.0230009166667,2077.0376833333335,1880.8905833333333,1301.2207166666667
531,3268.1151291066667,2132.1726566666666,2234.720926666667,1315.9424733333335
532,3362.6343566333335,2256.1322633333334,2697.3946066666667,1286.5020933333333
533,3519.5228861833334,2210.7550033333337,3272.705516666667,1368.7678833333332
534,3465.3490091433337,2082.78571,3697.4367,1382.5633
535,3393.6082296100003,2029.8707133333332,4089.0424833333336,1363.7375166666666
536,3363.00721288,1988.8402800000001,4364.693066666667,1374.1669333333334
537,3260.2007361700003,1892.5900233333332,4551.069286666667,1367.6107133333335
538,3088.4905975633337,1781.7412566666665,4673.25066,1306.7493400000003
539,2787.414110833334,1607.18479,4738.45068,1180.2293200000001
540,2747.87325242,1517.8892866666667,4508.876033333333,1229.9839666666667
541,2581.2079333666666,1382.76885,4254.340966666667,1198.4390333333333
542,2460.662963726667,1319.3388333333335,3938.67582,1141.32418
543,2147.55540909,1174.5111333333334,3672.8558133333336,973.0441866666666
544,1920.53289752,1035.36227,3294.8293733333335,885.1706266666666
545,2074.2804995499996,651.237,2864.2224000000006,849.8775999999997
546,2123.6111091233333,690.07545,2416.79594,863.2040599999999
547,2015.7003083933332,645.2122,2079.2935933333333,827.9264066666666
548,2085.99480663,694.8676,1857.2005933333337,803.6413066666664
549,2138.7416257833333,811.6648399999999,1689.3052133333333,838.3191866666666
550,2260.1348833666666,1376.2390633333332,1363.33038,883.89582
551,2568.0990153633334,1528.7308799999998,1294.9573633333334,1039.368136666667
